text,label
"Government confirms vaccine is safe and effective after trials",REAL
"Celebrity endorses miracle cure doctors don't want you to know",FAKE
"NASA announces discovery of water on the moon",REAL
"Scientists say eating chocolate triples height overnight",FAKE
"Election commission releases official turnout numbers",REAL
"Local man time travels to the future to win lottery",FAKE
"WHO reports decline in global measles cases this year",REAL
"Drinking bleach cures all diseases instantly",FAKE
"RBI announces new policy measures to control inflation",REAL
"Aliens landed in Delhi last night, officials confirm",FAKE
